gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
NRD1,TCGA-COAD,0.2647789698106759,log2_fold_change,3.711193655484968e-12,0.16887567078295726,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.2922189176957393,10731,1.0
SENP5,TCGA-COAD,0.2647467763943378,log2_fold_change,1.1570235206561061e-12,0.16881101700394388,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,SUMO specific peptidase 5,1,0.29220275425098596,10732,1.0
SELM,TCGA-COAD,-0.9477612058673052,log2_fold_change,3.218254846701725e-07,0.6687140363354238,0.0,0.0,no_support,,,0.0,no_support,2,0.5,available,,0,0.29217850908385595,10733,1.0
RNF121,TCGA-COAD,-0.2643708255159485,log2_fold_change,8.828211531068723e-10,0.16855240188789034,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,ring finger protein 121,0,0.2921381004719726,10734,1.0
NOMO2,TCGA-COAD,0.2643335664335673,log2_fold_change,0.0066692734284504,0.16848774810887696,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,NODAL modulator 2,0,0.2921219370272192,10735,1.0
SRRM4,TCGA-COAD,-0.947007317073171,log2_fold_change,5.547451713419908e-08,0.6684554212193703,0.0,0.0,no_support,,,0.0,no_support,2,0.5,available,serine/arginine repetitive matrix 4,0,0.2921138553048426,10736,1.0
HGS,TCGA-COAD,0.2637704246972543,log2_fold_change,2.75448109000157e-07,0.16822913299282344,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,hepatocyte growth factor-regulated tyrosine kinase substrate,12,0.29205728324820585,10737,1.0
LINS1,TCGA-COAD,-0.2636775967934506,log2_fold_change,0.0002098325642768,0.16816447921381006,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,lines homolog 1,0,0.2920411198034525,10738,1.0
CHRM5,TCGA-COAD,-0.9459926573426574,log2_fold_change,1.2798967370923683e-10,0.6681321523243033,0.0,0.0,no_support,,,0.0,no_support,2,0.5,available,cholinergic receptor muscarinic 5,2,0.29203303808107584,10739,1.0
ZDHHC6,TCGA-COAD,0.2636664847347756,log2_fold_change,1.5923328417154704e-05,0.16809982543479665,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,zDHHC palmitoyltransferase 6,0,0.2920249563586992,10740,1.0
EGFL7,TCGA-COAD,-0.2636253965546649,log2_fold_change,0.036735396512108,0.16803517165578327,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,EGF like domain multiple 7,0,0.2920087929139458,10741,1.0
NAGS,TCGA-COAD,-0.9447224884871231,log2_fold_change,3.940839998625881e-05,0.6678088834292364,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,2,0.5,available,N-acetylglutamate synthase,2,0.2919522208573091,10742,1.0
TM9SF1,TCGA-COAD,-0.2633629797032224,log2_fold_change,5.213989889920817e-12,0.16777655653972975,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,transmembrane 9 superfamily member 1,0,0.29194413913493245,10743,1.0
CSK,TCGA-COAD,-0.2613821848882836,log2_fold_change,0.0010704698089977,0.16551367427426134,0.00222,0.00222,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,C-terminal Src kinase,13,0.29193341856856536,10744,1.0
RAB11A,TCGA-COAD,-0.2622834385127071,log2_fold_change,4.654128807568981e-07,0.16622486584340854,0.00148,0.00148,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,"RAB11A, member RAS oncogene family",6,0.29192621646085215,10745,1.0
IRF8,TCGA-COAD,-0.2632305560293346,log2_fold_change,0.0309875532690788,0.16764724898170297,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,interferon regulatory factor 8,3,0.29191181224542573,10746,1.0
SPATA21,TCGA-COAD,0.2630852891011428,log2_fold_change,1.443146056930901e-10,0.1675179414236762,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,spermatogenesis associated 21,0,0.29187948535591907,10747,1.0
PER2,TCGA-COAD,-0.2135019955654087,log2_fold_change,0.0138373334641048,0.11941552983771901,0.048083,0.048083,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,period circadian regulator 2,4,0.29187463245942974,10748,1.0
KIAA1191,TCGA-COAD,-0.2630390840866443,log2_fold_change,2.4730902348224054e-07,0.16745328764466283,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,KIAA1191,0,0.2918633219111657,10749,1.0
ZNF800,TCGA-COAD,0.2629228466655302,log2_fold_change,6.956811184966315e-07,0.16738863386564945,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,zinc finger protein 800,0,0.29184715846641235,10750,1.0
VPS45,TCGA-COAD,-0.2629214821763614,log2_fold_change,9.040826400829036e-09,0.1672593263076227,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,vacuolar protein sorting 45 homolog,3,0.2918148315769057,10751,1.0
TEC,TCGA-COAD,0.2629073938256852,log2_fold_change,0.0011387190087818,0.16719467252860928,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.29179866813215233,10752,1.0
IPO8,TCGA-COAD,-0.2606262067201079,log2_fold_change,6.893366225405658e-11,0.1644792138100472,0.00259,0.00259,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,importin 8,1,0.2917673034525118,10753,1.0
CCL3L1,TCGA-COAD,0.9434927426232304,log2_fold_change,0.0007503818529748,0.6669683843020624,0.0,0.0,no_support,,,0.0,no_support,2,0.5,available,C-C motif chemokine ligand 3 like 1,2,0.2917420960755156,10754,1.0
FBXO24,TCGA-COAD,-0.2627056455739378,log2_fold_change,0.0034871117550662,0.16693605741255577,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,F-box protein 24,0,0.29173401435313895,10755,1.0
HNF1B,TCGA-COAD,-0.7962629541190527,log2_fold_change,3.413063845631744e-08,0.598758647442943,0.068085,0.068085,available,unprognostic - favorable,favorable,0.0,available,2,0.5,available,HNF1 homeobox B,6,0.2917109118607358,10756,1.0
KC6,TCGA-COAD,0.2626219682756267,log2_fold_change,0.0208832107486198,0.166806749854529,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,keratoconus gene 6,0,0.29170168746363223,10757,1.0
GK5,TCGA-COAD,-0.2625229148899901,log2_fold_change,1.076675518158889e-06,0.1667420960755156,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,glycerol kinase 5,0,0.29168552401887893,10758,1.0
