gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
CDC42BPG,TCGA-BRCA,0.5545528202913879,log2_fold_change,0.0190331233885844,0.5190170041458871,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,CDC42 binding protein kinase gamma,0,0.37975425103647176,6539,1.0
ITGA11,TCGA-BRCA,0.4812556821634786,log2_fold_change,1.3289661640429638e-07,0.45959262152256203,0.059419,0.059419,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,integrin subunit alpha 11,1,0.3797529053806405,6540,1.0
GPD2,TCGA-BRCA,0.221936973244416,log2_fold_change,2.965714608807848e-06,0.18644475154719703,0.332487,0.332487,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,glycerol-3-phosphate dehydrogenase 2,2,0.37973293788679924,6541,1.0
INPPL1,TCGA-BRCA,0.4508501207439721,log2_fold_change,4.902943382699862e-27,0.4336958481043081,0.085115,0.085115,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,inositol polyphosphate phosphatase like 1,4,0.379702712026077,6542,1.0
FAM119B,TCGA-BRCA,-0.5544711477874262,log2_fold_change,8.837482429885783e-22,0.518776662861263,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.3796941657153158,6543,1.0
PSMD8,TCGA-BRCA,0.4143497001391356,log2_fold_change,1.0644190199163733e-19,0.4020909691762303,0.116647,0.116647,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,"proteasome 26S subunit, non-ATPase 8",68,0.37968449229405754,6544,1.0
METRN,TCGA-BRCA,2.347980843288716,log2_fold_change,1.9255079575192973e-51,0.9419575797632639,0.076729,0.076729,available,unprognostic - unfavorable,unfavorable,0.0,available,2,0.5,available,"meteorin, glial cell differentiation regulator",0,0.37967164494081596,6545,1.0
PRKCA,TCGA-BRCA,-1.7627373890514804,log2_fold_change,1.4842180254272294e-76,0.8943700054076789,0.124301,0.124301,available,unprognostic - favorable,favorable,0.0,available,2,0.5,available,protein kinase C alpha,20,0.3796677513519197,6546,1.0
SHD,TCGA-BRCA,0.5386109869020773,log2_fold_change,6.186639751288702e-15,0.5067595986300547,0.011882,0.011882,available,,,0.0,no_support,3,1.0,available,Src homology 2 domain containing transforming protein D,0,0.37966039965751364,6547,1.0
KCNG2,TCGA-BRCA,0.5542741328023798,log2_fold_change,8.725125122431454e-14,0.5185964068977948,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,potassium voltage-gated channel modifier subfamily G member 2,2,0.3796491017244487,6548,1.0
ITIH2,TCGA-BRCA,-3.2890800676486114,log2_fold_change,1.8878244193276645e-22,0.9789100522742294,0.03967,0.03967,available,,,0.0,no_support,2,0.5,available,inter-alpha-trypsin inhibitor heavy chain 2,2,0.37964501306855736,6549,1.0
SNRPD3,TCGA-BRCA,0.538383175006798,log2_fold_change,4.993907776126074e-38,0.5064591720242745,0.012043,0.012043,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,small nuclear ribonucleoprotein D3 polypeptide,10,0.37962554300606866,6550,1.0
SLC25A26,TCGA-BRCA,-0.5478122966943335,log2_fold_change,5.206278700744132e-53,0.514330349095716,0.00407,0.00407,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,solute carrier family 25 member 26,1,0.379600087273929,6551,1.0
RGS20,TCGA-BRCA,-0.5412503398423132,log2_fold_change,1.4682509475480483e-06,0.5086222435858919,0.009651,0.009651,available,,,0.0,no_support,3,1.0,available,regulator of G protein signaling 20,2,0.37956831089647297,6552,1.0
SC4MOL,TCGA-BRCA,0.5531355051256241,log2_fold_change,3.787269140011023e-10,0.5182358949708586,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.37955897374271463,6553,1.0
GLRA3,TCGA-BRCA,-2.457517369540533,log2_fold_change,2.000867356642002e-12,0.9485669650904284,0.069495,0.069495,available,unprognostic - favorable,favorable,0.0,available,2,0.5,available,glycine receptor alpha 3,1,0.3795154912726071,6554,1.0
DLK2,TCGA-BRCA,-2.893305207183866,log2_fold_change,8.868612402546901e-30,0.9673736706122694,0.050629,0.050629,available,unprognostic - favorable,favorable,0.0,available,2,0.5,available,delta like non-canonical Notch ligand 2,0,0.37950066765306734,6555,1.0
FLT3LG,TCGA-BRCA,-0.5033451390554777,log2_fold_change,2.3981019296007438e-15,0.4788800096136514,0.038987,0.038987,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,fms related receptor tyrosine kinase 3 ligand,10,0.3794667524034129,6556,1.0
NCALD,TCGA-BRCA,-2.183085631467,log2_fold_change,1.2212905539592014e-59,0.9315027338821126,0.086349,0.086349,available,unprognostic - unfavorable,unfavorable,0.0,available,2,0.5,available,neurocalcin delta,1,0.3794629334705281,6557,1.0
DAK,TCGA-BRCA,0.5524666034959793,log2_fold_change,9.004251108661353e-19,0.5176951270804543,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.3794237817701136,6558,1.0
UCHL5,TCGA-BRCA,0.5272705472660704,log2_fold_change,6.598827162012274e-39,0.4984077389893649,0.019286,0.019286,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,ubiquitin C-terminal hydrolase L5,2,0.3794234347473412,6559,1.0
DTX1,TCGA-BRCA,-2.449819139119448,log2_fold_change,2.7768400086210176e-43,0.9482064531634922,0.069462,0.069462,available,,,0.0,no_support,2,0.5,available,deltex E3 ubiquitin ligase 1,1,0.379417113290873,6560,1.0
XRCC1,TCGA-BRCA,0.4142946504821765,log2_fold_change,1.0472142006740205e-15,0.4020308838550742,0.115622,0.115622,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,X-ray repair cross complementing 1,5,0.37941322096376856,6561,1.0
TRPM7,TCGA-BRCA,-0.4240227598394348,log2_fold_change,4.445337684804984e-14,0.41044282881692,0.107172,0.107172,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,transient receptor potential cation channel subfamily M member 7,1,0.37940370720423,6562,1.0
