rank,cancer_cohort,gene_id,effect_size,adjusted_p_value,de_score,cancer_association_score,clinical_category,clinical_score,cross_cancer_cohort_count,cross_cancer_score,pathway_count,final_score
1,TCGA-COAD,GOLGA7B,2.0296273921200747,7.190421592026287e-32,0.897782375379841,0.0,validated prognostic - unfavorable,1.0,3,1.0,0,0.7244455938449602
2,TCGA-COAD,DSC2,-1.6408824407300011,7.110252313601556e-19,0.8472877739703886,0.007771,validated prognostic - favorable,1.0,3,1.0,2,0.7137646934925972
3,TCGA-COAD,TLX1,3.179171064301552,3.359447261553e-27,0.9651516131117864,0.279369,potential prognostic - unfavorable,0.5,3,1.0,0,0.6861301532779466
4,TCGA-COAD,DPP7,0.7395646512024534,1.927743055918185e-13,0.566367104157238,0.014184,validated prognostic - unfavorable,1.0,3,1.0,1,0.6451377760393096
5,TCGA-COAD,SLC4A4,-6.233530854511342,2.4647258091110383e-73,0.9976078101765048,0.077749,potential prognostic - favorable,0.5,3,1.0,3,0.6438392025441262
6,TCGA-COAD,ATOH1,-3.069396111205868,3.4457768229833864e-30,0.9619189241611172,0.077205,potential prognostic - favorable,0.5,3,1.0,0,0.6347809810402794
7,TCGA-COAD,FES,-1.0878239297288088,4.005389509744103e-24,0.7189500226288227,0.277519,potential prognostic - unfavorable,0.5,3,1.0,4,0.6241172556572057
8,TCGA-COAD,TPSG1,-4.010498115299335,4.0351557126710074e-41,0.9846124005948148,0.004625,potential prognostic - favorable,0.5,3,1.0,0,0.6223093501487037
9,TCGA-COAD,ANO7,-2.16160418727614,2.5709475850687075e-20,0.9120062067627852,0.071415,potential prognostic - favorable,0.5,3,1.0,2,0.6208553016906964
10,TCGA-COAD,EEF1A2,-2.9734966228893063,3.01638817100968e-23,0.9580396974203144,0.013669,potential prognostic - unfavorable,0.5,3,1.0,1,0.6179271743550786
11,TCGA-COAD,SULT1B1,-3.2729221132525987,4.997510311887872e-47,0.967931725609362,0.0,potential prognostic - favorable,0.5,3,1.0,1,0.6169829314023405
12,TCGA-COAD,TNNT1,2.5729496759338217,1.6585277170902562e-25,0.9374797956940584,0.027862,potential prognostic - unfavorable,0.5,3,1.0,1,0.6163354489235147
13,TCGA-COAD,PRELP,-3.0221483455568814,8.772790635031771e-19,0.959850003232689,0.0,potential prognostic - unfavorable,0.5,3,1.0,5,0.6149625008081723
14,TCGA-COAD,SFRP2,-2.6957222155892886,4.854913824145893e-17,0.94400982737441,0.005398,potential prognostic - unfavorable,0.5,3,1.0,2,0.6123519568436026
15,TCGA-COAD,CXCR5,-2.7300350673716527,8.059917689065266e-13,0.9461434020818515,0.00222,potential prognostic - unfavorable,0.5,3,1.0,2,0.612090850520463
16,TCGA-COAD,CCL28,-2.7582226249360406,7.806969937490291e-27,0.9472425163250792,0.0,potential prognostic - favorable,0.5,3,1.0,2,0.6118106290812698
17,TCGA-COAD,ZNF425,-0.5520747569503666,3.301039685796572e-07,0.4402275813021271,0.0,validated prognostic - unfavorable,1.0,3,1.0,2,0.6100568953255318
18,TCGA-COAD,BGN,2.37876882142248,2.051674015682181e-20,0.92681192215685,0.012631,potential prognostic - unfavorable,0.5,3,1.0,11,0.6098607305392125
19,TCGA-COAD,PPARGC1A,-2.24416353402695,3.464986304349295e-39,0.91821296954807,0.016634,potential prognostic - favorable,0.5,3,1.0,13,0.6087117423870175
20,TCGA-COAD,CRYAB,-2.3358397236909427,2.286966814602307e-13,0.9246783474494084,0.00849,potential prognostic - unfavorable,0.5,3,1.0,1,0.6082920868623521
21,TCGA-COAD,UBD,2.2624217465461385,8.414027510351627e-10,0.9197646602443912,0.011841,potential prognostic - favorable,0.5,3,1.0,1,0.6079014150610978
22,TCGA-COAD,TMEM61,-2.3672599437148216,6.856776673513133e-27,0.926294691924743,0.0,potential prognostic - favorable,0.5,3,1.0,0,0.6065736729811857
23,TCGA-COAD,ADH6,-2.2967873955312976,8.307781093294266e-30,0.9220921962888732,0.0,potential prognostic - favorable,0.5,3,1.0,1,0.6055230490722183
24,TCGA-COAD,ASPHD1,2.080793271362784,1.4157305385097472e-41,0.903342600374992,0.0,potential prognostic - unfavorable,0.5,3,1.0,0,0.600835650093748
25,TCGA-COAD,SALL4,3.995023810336006,1.089042137087549e-49,0.9842244779207344,0.387271,unprognostic - unfavorable,0.0,3,1.0,3,0.5928738694801836
